"Geographic name","Incompletely enumerated Indian reserves and Indian settlements","Population","Total private dwellings","Private dwellings occupied by usual residents"
Canada,T,31612897,13576855,12435520
A0A,,46648,23052,17994
A0B,,22099,12284,8799
A0C,,13767,7788,5598
A0E,,24400,12735,9575
A0G,,37991,20088,14939
A0H,,19537,9991,7543
A0J,,8146,4515,3255
A0K,,30274,15193,11527
A0L,,7479,3385,2876
A0M,,6800,3380,2796
A0N,,15448,7863,6332
A0P,,12296,4808,4003
A0R,,2428,1184,928
A1A,,27064,11457,10659
A1B,,16268,8012,6923
A1C,,13545,7084,6334
A1E,,28954,13157,12239
A1G,,5058,2100,1982
A1H,,1460,548,524
A1K,,9744,3550,3408
A1L,,12641,4750,4508
A1M,,6562,2448,2343
A1N,,24807,9708,9243
A1S,,6435,2272,2192
A1V,,9934,4190,3879
A1W,,10079,3717,3569
A1X,,11779,4493,4293
A1Y,,5312,2268,2033
A2A,,8855,3783,3542
A2B,,4888,1955,1847
A2H,,25246,10854,10006
A2N,,8591,3854,3525
A2V,,7232,2961,2782
A5A,,7174,3422,2796
A8A,,6528,3109,2453
B0C,,3135,1695,1253
B0E,,27973,14526,11214
B0H,,10994,5722,4395
B0J,,42621,23065,17956
B0K,,38322,19693,15762
B0L,,2676,1715,1137
B0M,,18192,9837,7627
B0N,,39763,17622,15754
B0P,,40521,17569,15862
B0R,,6303,3772,2690
B0S,,18223,9679,7916
B0T,,16159,8774,6817
B0V,,6244,3293,2726
B0W,,32905,15981,13385
B1A,,17063,7386,7002
B1B,,1448,634,590
B1C,,1986,942,823
B1E,,1667,708,672
B1G,,2162,914,881
B1H,,10729,4548,4360
B1J,,1167,801,522
B1K,,3307,2082,1375
B1L,,4982,1901,1842
B1M,,1255,468,455
B1N,,6210,2675,2534
B1P,,15636,7401,6962
B1R,,4323,1731,1696
B1S,,8460,3638,3470
B1T,,409,450,186
B1V,,6782,2815,2719
B1W,,2952,857,834
B1X,,912,621,379
B1Y,,6708,2836,2617
B2A,,8770,3725,3600
B2C,,346,322,143
B2E,,33,112,20
B2G,,13752,6803,5387
B2H,,15104,6893,6470
B2J,,128,160,59
B2N,,32196,14172,13531
B2R,,2326,894,877
B2S,,7065,2585,2510
B2T,,14215,5181,4972
B2V,,13066,4560,4491
B2W,,29676,11499,11204
B2X,,12048,4846,4608
B2Y,,14715,7452,7016
B2Z,,8162,2996,2902
B3A,,20272,11507,10347
B3B,,792,431,287
B3E,,6484,2513,2410
B3G,,10070,3748,3641
B3H,,18278,10762,9030
B3J,,5196,3922,3133
B3K,,19630,10507,9647
B3L,,17491,8782,8212
B3M,,26460,13408,12484
B3N,,12219,6109,5725
B3P,,8469,3854,3619
B3R,,8133,3829,3499
B3S,,8808,4020,3827
B3T,,15881,5945,5761
B3V,,5841,2241,2155
B3Z,,14880,5761,5424
B4A,,15976,6561,6258
B4B,,8776,3042,2960
B4C,,19166,7090,6941
B4E,,16118,5978,5816
B4G,,3849,1357,1322
B4H,,13732,6876,5834
B4N,,16910,7499,7165
B4P,,7587,3976,3191
B4R,,2868,1114,1050
B4V,,17432,8080,7378
B5A,,13353,6057,5557
B9A,,5000,2161,1953
C0A,,43172,20455,16219
C0B,,29874,14177,11205
C1A,,28747,13715,12409
C1B,,7051,2885,2624
C1C,,2123,940,873
C1E,,8801,3508,3181
C1N,,16083,7073,6573
E1A,,34082,14881,13758
E1B,,17819,7114,6888
E1C,,24525,12627,11409
E1E,,10099,4712,4467
E1G,,16311,6079,5888
E1H,,6975,2917,2800
E1J,,3237,1267,1215
E1N,,11762,5260,4647
E1V,,14039,6085,5696
E1W,,7129,3415,3058
E1X,,13465,5806,5262
E2A,,18444,8784,7820
E2E,,17266,6397,6146
E2G,,4264,1525,1486
E2H,,4911,1983,1879
E2J,,15254,7185,6631
E2K,,17404,8430,7593
E2L,,7937,4818,4088
E2M,,19403,8467,7966
E2N,,4073,1561,1497
E2P,,1477,590,563
E2R,,33,16,16
E2S,,6812,2524,2384
E2V,,13713,5418,4928
E3A,,32049,13648,12797
E3B,,32344,16118,14289
E3C,,10201,3771,3668
E3E,,3997,1460,1413
E3L,,9276,4146,3806
E3N,,14769,6694,6135
E3V,,11728,5766,5377
E3Y,,7718,3122,2938
E3Z,,4401,1868,1789
E4A,,3303,1913,1506
E4B,,4747,2595,2024
E4C,,2533,2031,1098
E4E,,8997,4117,3728
E4G,,2707,1081,984
E4H,,4464,2073,1804
E4J,,4543,1935,1808
E4K,,6231,2454,2267
E4L,,7080,3348,2904
E4M,,2043,1640,853
E4N,,3893,1720,1504
E4P,,13301,6704,5378
E4R,,6204,3804,2591
E4S,,7147,3569,2903
E4T,,2334,1379,970
E4V,,4192,1814,1639
E4W,,8296,3997,3450
E4X,,3238,1363,1270
E4Y,,3339,1501,1386
E4Z,,5870,2843,2353
E5A,,1914,958,769
E5B,,3036,1698,1317
E5C,,4100,2078,1686
E5E,,1056,632,422
E5G,,2650,1405,1125
E5H,,3029,1322,1221
E5J,,2098,1121,875
E5K,,7163,2811,2634
E5L,,3104,1319,1202
E5M,,2079,989,820
E5N,,11120,4510,4064
E5P,,2571,1044,965
E5R,,1582,757,612
E5S,,1865,974,763
E5T,,3081,1860,1195
E5V,,824,499,373
E6A,,1341,617,535
E6B,,1755,792,680
E6C,,2073,874,807
E6E,,1557,729,604
E6G,,2666,1374,1096
E6H,,1254,854,508
E6J,,1469,688,619
E6K,,3513,1904,1417
E6L,,4758,1950,1817
E7A,,3957,2116,1653
E7B,,5986,2663,2377
E7C,,5510,2523,2262
E7E,,4685,1994,1849
E7G,,4443,2255,1779
E7H,,6013,2764,2502
E7J,,2290,937,889
E7K,,2683,1088,1023
E7L,,5483,2359,2143
E7M,,9673,4047,3835
E7N,,2897,1303,1129
E7P,,3708,1562,1412
E8A,,3839,1751,1528
E8B,,2616,1243,1083
E8C,,3995,1976,1798
E8E,,5422,2446,2197
E8G,,3193,1604,1417
E8J,,5777,2505,2322
E8K,,8625,3802,3458
E8L,,2539,1051,997
E8M,,2093,908,838
E8N,,2638,1491,1188
E8P,,3529,1528,1390
E8R,,3279,1453,1371
E8S,,5019,2287,1978
E8T,,6425,3167,2658
E9A,,2582,1134,1040
E9B,,2505,1034,977
E9C,,2396,1198,1050
E9E,,4525,1908,1701
E9G,,5441,2132,1982
E9H,,3194,1296,1202
G0A,,89695,43694,36201
G0C,,48372,22437,20376
G0E,,5629,2950,2453
G0G,,18042,8239,6894
G0H,,11663,5588,4577
G0J,,34318,17600,14424
G0K,,12060,6140,5017
G0L,,62721,31062,25875
G0M,,35464,15636,13813
G0N,,20172,10449,8365
G0P,,6482,2875,2521
G0R,,82926,39521,33954
G0S,,64237,27385,25158
G0T,,15551,7491,6454
G0V,,16271,8849,6408
G0W,,34756,16042,12879
G0X,,56274,28635,24006
G0Y,,9772,5763,4105
G0Z,,8384,3912,3464
G1A,,10,4,4
G1B,,15022,5446,5339
G1C,,35003,13955,13684
G1E,,24701,11992,11577
G1G,,22199,9649,9491
G1H,,28455,14558,14058
G1J,,22251,12423,11853
G1K,,18552,11542,10780
G1L,,23047,13409,12868
G1M,,18606,9250,8942
G1N,,8000,4733,4507
